"entrez_ID","ensembl_ID_CPF","merged_symbol_CPF","merged_description_CPF","logFC_CPF","logFC_MPI","FC_CPF","FC_MPI","rank"
"111589177","ENSAOCG00000020436","LOC111589177_KLHL38","kelch-like protein 38.1",4.97573663245829,4.65217811309703,31.4663215897979,25.1446246616756,2
"111589104","ENSAOCG00000001507","fbxo32","F-box protein 32",3.48656288786917,3.07323272515292,11.2088229948383,8.41657182475901,8
"111583648","ENSAOCG00000009428","LOC111583648_CHAC1","glutathione-specific gamma-glutamylcyclotransferase 1-like",3.13287845403308,3.0844284558416,8.77183365721475,8.48214094447058,8
"111564065","ENSAOCG00000013983","ttll12","tubulin tyrosine ligase-like family, member 12",2.83377008148294,3.56675438109312,7.12934769123091,11.8495008342808,9
"129348747",NA,"LOC129348747","uncharacterized LOC129348747",2.62632571151443,2.56215675163662,6.17451453844901,5.90589927537442,17
"111566613","ENSAOCG00000007404","ankrd33ab_ANKRD33","ankyrin repeat domain 33Ab",2.33579349227476,2.80831106127834,5.0482854638977,7.00464075408443,19
"111565182","ENSAOCG00000017446","LOC111565182_cyp26a1","cytochrome P450 26A1",2.10854721698441,3.02351194537237,4.3125680352818,8.13144610409092,20
"111578229","ENSAOCG00000007402","fosl1a","FOS like 1, AP-1 transcription factor subunit a",2.21819453742381,2.52277691806724,4.65310756318447,5.74687200662293,22
"111574513",NA,"LOC111574513","complement C1q-like protein 4.1",2.08841303091245,2.96563901014544,4.25280006245162,7.81171334725087,22
"111574534","ENSAOCG00000024744","guca1g","guanylate cyclase activator 1g",1.92529677899019,3.59032225068595,3.79814972659858,12.0446640611764,22
"118470105",NA,"LOC118470105","basic proline-rich protein",2.77147555252936,1.66620020446841,6.82805913274588,3.17377577076082,31
"111582076","ENSAOCG00000021702","sesn1","sestrin 1",2.20073737921335,1.71891897905314,4.59714247579008,3.29189650485645,34
"111580959","ENSAOCG00000018176","pdk2a_PDK2","pyruvate dehydrogenase kinase 2a",2.00060937068165,1.75915421692383,4.00168989114561,3.38499620631975,36
"111580399","ENSAOCG00000017689","LOC111580399_ENSAOCG00000017689","interleukin-1 beta-like",1.71557265935518,2.48215807597721,3.28426982546876,5.58732629921528,39
"111566540","ENSAOCG00000002726","LOC111566540_irs2a","insulin receptor substrate 2-like",1.77421322989964,1.85290732477041,3.42051422519873,3.61227398943612,41
"111578897",NA,"LOC111578897","zinc finger protein 395-like",1.82712502106361,1.70722414480731,3.54829269522625,3.2653194626684,46
"111581170","ENSAOCG00000007841","LOC111581170_slco1d1","solute carrier organic anion transporter family member 1C1-like.3",2.45838362150067,1.40003251388155,5.49600616133763,2.6390752974657,49
"111581810","ENSAOCG00000013714","LOC111581810_pde6ha","retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma-like.4",1.35369610722961,4.19615038968218,2.55566033923365,18.3301970478645,49
"111565216","ENSAOCG00000016158","LOC111565216_ENSAOCG00000016158","early growth response protein 1-like",1.58210662445797,1.94132934543272,2.99406724626708,3.84059369347536,50
"118470005",NA,"LOC118470005","uncharacterized LOC118470005",1.57838569812892,2.10545612229355,2.98635504867509,4.30333788957601,50
"111580179","ENSAOCG00000000062","mknk2b","MAPK interacting serine/threonine kinase 2b",1.72843731107161,1.6653310056044,3.31368694100719,3.17186420153371,51
"129350248",NA,"LOC129350248","calmodulin-regulated spectrin-associated protein 1-B-like.1",2.08160519794982,1.43326361814018,4.23277909590346,2.70056938986685,52
"111573922","ENSAOCG00000006142","arrdc2","arrestin domain containing 2",1.84503498297583,1.46339276350954,3.59261660550824,2.75756093020824,54
"111563471","ENSAOCG00000018311","best4","bestrophin 4",1.68128385564609,1.63218205338366,3.20713227079577,3.09981486414269,55
"111585709","ENSAOCG00000008445","trmo","tRNA methyltransferase O",1.94155804788157,1.36317117400554,3.84120256976712,2.57250017276001,60
"129350549",NA,"defbl2","defensin, beta-like 2",2.85835375919042,1.16443675172384,7.25187349963139,2.24145688916182,61
"111570338","ENSAOCG00000019385","cbx7a","chromobox homolog 7a",2.38830742386704,1.21450713683268,5.23542778420184,2.32061490928607,63
"111577104","ENSAOCG00000000294","hspb6","heat shock protein, alpha-crystallin-related, b6",1.61920186622214,1.55207370369468,3.0720503598435,2.93238331870855,63
"111567524","ENSAOCG00000017932","LOC111567524_TNNI2","troponin I, fast skeletal muscle-like.4",1.30516151440172,2.28174943317327,2.47111390800703,4.86267251193581,63
"111575144","ENSAOCG00000024578","zfand5a","zinc finger, AN1-type domain 5a",1.64982613794301,1.41546034227649,3.13795820719704,2.66744836103313,68
"111581667","ENSAOCG00000018242","dusp5","dual specificity phosphatase 5",1.58908707270689,1.43600154189552,3.00858907828871,2.70569935384369,69
"111577094","ENSAOCG00000006662","si:dkey-79d12.5_ENSAOCG00000006662","maternal B9.15 protein",1.40820677924034,1.61451978109352,2.65407065776105,3.06209656777917,70
"111583184","ENSAOCG00000007351","eif4ebp3l","eukaryotic translation initiation factor 4E binding protein 3, like",1.64942453613422,1.31762363671406,3.13708481797012,2.49255205883294,74
"111573459","ENSAOCG00000012033","egr1","early growth response 1",1.37513068111691,1.56838903615744,2.59391405863282,2.96573364949336,74
"111562678","ENSAOCG00000003848","lpin1a","lipin 1a",1.78023475082756,1.23541826566996,3.43482060355424,2.35449599019554,76
"111568147","ENSAOCG00000009009","ddit4","DNA-damage-inducible transcript 4",1.99567950595474,1.13370868642367,3.98803896595812,2.19422076637927,78
"111587687",NA,"LOC111587687","TNFAIP3-interacting protein 3-like",1.71899153725507,1.21325107856943,3.29206207005982,2.31859538406047,81
"111583609","ENSAOCG00000010276","LOC111583609_ENSAOCG00000010276","collagenase 3",1.19428213710703,1.84994682336513,2.28830941025379,3.60486897528348,83
"111583171",NA,"si:dkey-43p13.5","visual system homeobox 2.1",1.24860029451682,1.52977110123405,2.37610780700735,2.88740023823617,88
"111568745","ENSAOCG00000023817","LOC111568745_RHOG","ras-related C3 botulinum toxin substrate 1-like",1.4639117706061,1.24181790450413,2.75855313654225,2.36496347837219,89
"111566975","ENSAOCG00000001973","tbxta","T-box transcription factor Ta",1.40552003673369,1.29142153480457,2.64913256031649,2.44769115805086,90
"111567845","ENSAOCG00000005622","LOC111567845_ENSAOCG00000005622","interleukin-8-like",1.08917889539324,2.12812586948731,2.12752914482602,4.37149233533774,90
"111576543","ENSAOCG00000007900","comp","cartilage oligomeric matrix protein",1.28796748635459,1.40384970878648,2.44183799364615,2.64606721423474,93
"111566519","ENSAOCG00000012672","LOC111566519_ENSAOCG00000012672","Golgi-associated plant pathogenesis-related protein 1-like",1.11491802956891,1.83182620149394,2.16582703052003,3.55987405646744,93
"111581220","ENSAOCG00000006514","ulk2","unc-51 like autophagy activating kinase 2",1.89548728656753,1.04553502260921,3.72047619116922,2.06413169871003,94
"111568396","ENSAOCG00000005792","LOC111568396_CMKLR1","chemerin-like receptor 1",1.37198951106838,1.28175389520208,2.58827249118988,2.4313437757201,94
"111572695","ENSAOCG00000020659","ghrb_ENSAOCG00000020659","growth hormone receptor b",1.62042932825077,1.10565270769634,3.07466520889075,2.15196215680728,95
